,Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects),All PIS,PM PIs
12,Site Specific Immunophenotyping Assays of COVID19 Patients to Align with NIAID National Study,NIAID,10142304,3R01AI141953-02S2,3,R01,AI,141953,2,S2,,8206939,"BALIGA, NITIN S",Not Applicable,INSTITUTE FOR SYSTEMS BIOLOGY, ,2020,661549,,"['baliga, nitin s']","['baliga, nitin s']"
13,Clinical Sample Collection COVID19 Patients to Align with NIAID National Study,NIAID,10142303,3R01AI141953-02S1,3,R01,AI,141953,2,S1,,8206939,"BALIGA, NITIN S",Not Applicable,INSTITUTE FOR SYSTEMS BIOLOGY, ,2020,441482,,"['baliga, nitin s']","['baliga, nitin s']"
14,Combination Adjuvants to Activate Human Dendritic Cell Subsets and B Cells,NIAID,10162208,3U01AI124297-05S1,3,U01,AI,124297,5,S1,,8072799,"BANCHEREAU, JACQUES F",Not Applicable,JACKSON LABORATORY, ,2020,141667,,"['banchereau, jacques f']","['banchereau, jacques f']"
18,Testing the role of NLRP3 and other NLR Family Members in COVID19 pathogenesis,NIAID,10162878,3U19AI100625-08S2,3,U19,AI,100625,8,S2,,1885536,"BARIC, RALPH S ","HEISE, MARK T",UNIV OF NORTH CAROLINA CHAPEL HILL, ,2020,103161,,"['baric, ralph s', 'heise, mark t']","['baric, ralph s', '']"
19,Systems Immunogenetics of Biodefense and Emerging Pathogens in the Collaborative Cross,NIAID,10134680,3U19AI100625-08S1,3,U19,AI,100625,8,S1,,1885536,"BARIC, RALPH S ","HEISE, MARK T",UNIV OF NORTH CAROLINA CHAPEL HILL, ,2020,563507,,"['baric, ralph s', 'heise, mark t']","['baric, ralph s', '']"
20,Broad-spectrum antiviral GS-5734 to treat MERS-CoV and related emerging CoV,NIAID,10129175,3R01AI132178-03S1,3,R01,AI,132178,3,S1,,1885536,"BARIC, RALPH S ","SHEAHAN, TIMOTHY PATRICK",UNIV OF NORTH CAROLINA CHAPEL HILL, ,2020,450462,,"['baric, ralph s', 'sheahan, timothy patrick']","['baric, ralph s', '']"
28,Vanderbilt Institute for Clinical and Translational Research (VICTR),NCATS,10170009,3UL1TR002243-04S2,3,UL1,TR,2243,4,S2,,1859896,"BERNARD, GORDON R ","WILKINS, CONSUELO HOPKINS",VANDERBILT UNIVERSITY MEDICAL CENTER, ,2020,96461,,"['bernard, gordon r', 'wilkins, consuelo hopkins']","['', 'wilkins, consuelo hopkins']"
33,CVD Risk and Outcome Heterogeneity in Older Adults with Diabetes,NIA,10163647,3R01AG054467-04S1,3,R01,AG,54467,4,S1,,1946968,"BLAUM, CAROLINE S ","ZHONG, HUA JUDY",NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2020,368910,,"['blaum, caroline s', 'zhong, hua judy']","['blaum, caroline s', 'zhong, hua judy']"
38,Mechanisms of IL-6 mediated T cell pathogenesis in autoimmunity,NIAID,10204509,3R01AI132774-04S1,3,R01,AI,132774,4,S1,,7703043,"BUCKNER, JANE HOYT",Not Applicable,BENAROYA RESEARCH INST AT VIRGINIA MASON, ,2020,2100193,,"['buckner, jane hoyt']","['buckner, jane hoyt']"
39,COVID Immunophenotyping Study,NIAID,10143958,3R01AI132774-03S1,3,R01,AI,132774,3,S1,,7703043,"BUCKNER, JANE HOYT ","ALTMAN, MATTHEW C",BENAROYA RESEARCH INST AT VIRGINIA MASON, ,2020,543574,,"['buckner, jane hoyt', 'altman, matthew c']","['buckner, jane hoyt', '']"
42,Nasal microRNA during bronchiolitis and age 6y asthma phenotypes: MARC-35 cohort,NIAID,10142817,3R01AI127507-04S1,3,R01,AI,127507,4,S1,,6995551,"CAMARGO, CARLOS A. ","FREISHTAT, ROBERT J",MASSACHUSETTS GENERAL HOSPITAL, ,2020,128796,,"['camargo, carlos a', 'freishtat, robert j']","['', 'freishtat, robert j']"
46,Methamphetamine Use and HIV as Risk Factors for COVID-19,NIDA,10140075,3R01DA049843-01S1,3,R01,DA,49843,1,S1,,9011522,"CARRICO, ADAM WAYNE ","HIRSHFIELD, SABINA ;HORVATH, KEITH JOSEPH",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,2020,152977,,"['carrico, adam wayne', 'hirshfield, sabina', 'horvath, keith joseph']","['', 'hirshfield, sabina', '']"
